mc_id,medicao_id,frente_id,tipo,descricao,comprimento,ast,resultado
mc_c8ed392959,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 68 - 101890.0 - Disjuntor Monopolar Tipo Nema, Corrente Nominal De 10 Até 30A - Fornecimento E Instalação. Af_07/2025",0.0,21.6,0.0
mc_19b4c7ceee,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 69 - 101891.0 - Disjuntor Monopolar Tipo Nema, Corrente Nominal De 35 Até 50A - Fornecimento E Instalação. Af_07/2025",0.0,39.6,0.0
mc_8763007c1a,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 70 - 101895.0 - Disjuntor Termomagnético Tripolar, Corrente Nominal De 125A - Fornecimento E Instalação. Af_07/2025",0.0,595.29,0.0
mc_df1d54f24a,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 71 - 101896.0 - Disjuntor Termomagnético Tripolar, Corrente Nominal De 200A - Fornecimento E Instalação. Af_07/2025",0.0,886.12,0.0
mc_585dad8d75,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 72 - 101897.0 - Disjuntor Termomagnético Tripolar, Corrente Nominal De 250A - Fornecimento E Instalação. Af_07/2025",0.0,1406.05,0.0
mc_cbf94bb804,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 73 - 101898.0 - Disjuntor Termomagnético Tripolar, Corrente Nominal De 400A - Fornecimento E Instalação. Af_07/2025",0.0,1875.47,0.0
mc_1a01656cae,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 74 - 101899.0 - Disjuntor Termomagnético Tripolar, Corrente Nominal De 600A - Fornecimento E Instalação. Af_07/2025",0.0,2992.01,0.0
mc_ff5a2f7693,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 75 - 93676.0 - Disjuntor Tetrapolar Tipo Dr, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",0.0,244.22,0.0
mc_79c3a0b5e5,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 76 - 97711.0 - Disjuntor Tetrapolar Tipo Dr, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",0.0,267.51,0.0
mc_71fac6b788,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual, -  - 77 - 106020.0 - Disjuntor Tripolar Din 63A - Fornecimento E Instalação. Af_07/2025,0.0,155.53,0.0
mc_4ce1547d17,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 78 - 93667.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 10A - Fornecimento E Instalação. Af_07/2025",0.0,99.34,0.0
mc_3df3e67790,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 79 - 93668.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 16A - Fornecimento E Instalação. Af_07/2025",0.0,99.34,0.0
mc_7d5af795d1,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 80 - 93669.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 20A - Fornecimento E Instalação. Af_07/2025",0.0,103.41,0.0
mc_102cba5e22,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 81 - 93670.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 25A - Fornecimento E Instalação. Af_07/2025",0.0,107.7,0.0
mc_c7a7c72676,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 82 - 93671.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 32A - Fornecimento E Instalação. Af_07/2025",0.0,114.43,0.0
mc_564a9b88a4,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 83 - 93672.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 40A - Fornecimento E Instalação. Af_07/2025",0.0,125.05,0.0
mc_f7c48d609f,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 84 - 93673.0 - Disjuntor Tripolar Tipo Din, Corrente Nominal De 50A - Fornecimento E Instalação. Af_07/2025",0.0,138.73,0.0
mc_cd43f8b256,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 85 - 101893.0 - Disjuntor Tripolar Tipo Nema, Corrente Nominal De 10 Até 50A - Fornecimento E Instalação. Af_07/2025",0.0,128.26,0.0
mc_62dd1a59ac,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 86 - 101894.0 - Disjuntor Tripolar Tipo Nema, Corrente Nominal De 60 Até 100A - Fornecimento E Instalação. Af_07/2025",0.0,222.61,0.0
mc_be6917a40d,bm_aeb5f7c270,frente_14ecb2eece,Item Contratual," -  - 87 - 101875.0 - Quadro De Distribuição De Energia Em Chapa De Aço Galvanizado, De Embutir, Com Barramento Trifásico, Para 12 Disjuntores Din 100A - Fornecimento E Instalação. Af_07/2025",0.0,496.82,0.0
